French,English
?,part
???,history
???????,search
?????,only
??,police
???????,thought
?????,help
??,request
?????,kind
?,month
????,brother
???????,let
??????,because
??????,to put
?????????,no
??,leash
???,them
?????,city
???????,each
?????,speak
?,come
ai,should
????,baby
???,long time
????,hours
WHO,will
???????,while
???,meet again
?????,any
?????,square
???,speak
???,understood
??????,knew
????,were
???????,Warning
???????,here is
??????,could
?????,case
???,give
????,type
??,their
???????,given
????,train
??,body
???,place
???????,eyes
?????,way
???????,listen
??????,whose
?????????,find
?????,first
??,lost
??,hand
????????,first
?????,side
????,power
?????,old
????????,be
????,here
????????,morning
???,so much
?????,child
???????????,point
???????,came
?????,after
??????,sorry
??????,come
???,in front of
?????,towards
???,minutes
???????,request
?????,bedroom
????,placed
??????,beautiful
????????,law
??,would like to
???????????,today
SO,husband
??????,cause
????????,finally
??????,hope
??????,water
???????,Wait
?????,left
????????,new
???,job
????????? ?????,Stop
??????,would say
???????,Earth
??????,account
??????????,given
???????,far
??????,end
???,believe
????????,sweetheart
????,large
?????,rather
????,will have
??????,girls
?????,to play
????????,office
